T;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11
278,15;0,003474489;0,00413516;0,004901727;0,005775603;0,006768179;0,008211597;0,009506074;0,011551126;0,013445511;0,016159642;0,019426099
283,15;0,004699416;0,00563548;0,00655825;0,007875236;0,009290716;0,010838685;0,012839664;0,015361143;0,017628639;0,021630633;0,025137575
288,15;0,006434158;0,007650528;0,008837396;0,010590278;0,012284525;0,014381566;0,017282629;0,020077689;0,023766653;0,027730109;0,032794064
293,15;0,008758256;0,010016323;0,011825499;0,014065568;0,016599689;0,019189304;0,022561268;0,026278697;0,030989292;0,03582674;0,041766847
298,15;0,011371976;0,013419694;0,015642985;0,018082152;0,021238652;0,02499981;0,028850299;0,033605151;0,038840911;0,045945039;0,054638538
303,15;0,015175907;0,01743847;0,020471522;0,023677766;0,027653663;0,032453568;0,037721094;0,043092812;0,050664322;0,057556275;0,06810696
308,15;0,019610533;0,022677141;0,026564103;0,030550326;0,035239285;0,040859429;0,047857159;0,05490863;0,064171736;0,074460798;0,086796296
313,15;0,025688827;0,02944962;0,033627547;0,039366164;0,044884929;0,051327001;0,060325614;0,070075833;0,079765245;0,091857039;0,107922325
318,15;0,032771187;0,038109868;0,043438572;0,050536755;0,058350314;0,067012399;0,075074426;0,086158431;0,101364452;0,115676614;0,13236954
